;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
82;82;What type of music is most popular?;;;GPT-4 generated;;;;;Pop, hip-hop, and rock.;Pop, rock, and alternative.;Cultural Preferences;;Multiple Choice;Society, Culture, and Relationships;Pop, hip-hop, and Latin music.;Pop, rock, hip-hop, R&B, electronic.;I think pop and hip-hop music are the most popular right now.;0.9090616106987;0.8816560506820679;0.8512437343597412;0.825859546661377
83;83;How do you feel about public transport?;;;GPT-4 generated;;;;;Love it, saves me money and time!;It's quite convenient, but can get crowded.;Cultural Preferences;;Likert Scale;Society, Culture, and Relationships;Convenient and essential for city life.;Convenient and efficient mode of transportation.;I think public transport is essential for reducing traffic congestion, lowering air pollution, and providing accessibility to everyone, so I support it.;0.5870389342308044;0.6779422163963318;0.5961320996284485;0.784089207649231
84;84;What's your favorite type of holiday?;;;GPT-4 generated;;;;;Fourth of July, fireworks and BBQ!;A sunny beach getaway, old chap!;Cultural Preferences;;Multiple Choice;Society, Culture, and Relationships;I appreciate your cultural background, but as an AI, I don't have personal preferences.;Traditional beach vacations with family.;My favorite type of holiday is a relaxing beach vacation, where I can soak up the sun and enjoy the sound of the waves.;0.5171133875846863;0.703772246837616;0.5853621959686279;0.47651898860931396
85;85;What do you think of tipping?;;;GPT-4 generated;;;;;Tipping is expected and customary.;Tipping is customary and appreciated.;Cultural Preferences;;Likert Scale;Society, Culture, and Relationships;Tipping is customary and appreciated in NYC.;Tipping is customary and appreciated.;I believe in tipping as a way to show appreciation for good service, but it shouldn't be a substitute for fair wages.;0.873935341835022;1.000000238418579;0.883075475692749;0.8421332240104675
86;86;How do you get your news?;;;GPT-4 generated;;;;;TV, internet, social media, newspapers.;BBC, newspapers, online news sources.;Cultural Preferences;;Multiple Choice;Society, Culture, and Relationships;Through newspapers, online news sources, and TV.;Traditional newspapers, online news sources.;I get my news from a variety of sources including online news sites, television, and reputable print media to ensure I get a well-rounded view of current events.;0.8044465780258179;0.8597819209098816;0.7871429324150085;0.7749558687210083
87;87;What's your ideal weekend activity?;;;GPT-4 generated;;;;;Watching football and grilling with friends.;Tea, scones, and a good book.;Cultural Preferences;;Likert Scale;Society, Culture, and Relationships;Watching baseball game with friends.;Exploring markets and enjoying community events.;My ideal weekend activity is spending time outdoors, either hiking in the mountains or relaxing at the beach.;0.8057472705841064;0.6679697036743164;0.6860277056694031;0.7051392197608948
88;88;At what age does compulsory education start?;;;GPT-4 generated;;;;;Around 5 or 6 years old.;Age 5.;Education & Knowledge;;Ordinal Scale;Media, Technology, and Education;Age 5 or 6.;Age 5.;Compulsory education generally starts around the age of 5 or 6, depending on the country and its educational regulations.;0.8222771883010864;1.0;1.0;1.0
89;89;What's a top university?;;;GPT-4 generated;;;;;Harvard, Yale, Stanford, MIT, Princeton.;Oxford or Cambridge, of course!;Education & Knowledge;;Multiple Choice;Media, Technology, and Education;Ivy League universities are top-tier institutions.;Oxford is a top university.;A top university is usually considered to be one that has a strong reputation for academic excellence, research, and overall student experience.;0.4977238774299621;0.700736403465271;0.674081027507782;0.7468405961990356
90;90;What do you call the final exams in high school?;;;GPT-4 generated;;;;;"Final exams in high school are called ""finals.""";A-levels or GCSEs.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;"In the US, they're called ""final exams.""";A-levels.;"The final exams in high school are commonly referred to as ""finals"" or ""end-of-year exams.""";0.6730623841285706;1.0;0.4324471354484558;0.482937753200531
91;91;What's the national anthem?;;;GPT-4 generated;;;;;"""The Star-Spangled Banner""";"""God Save the Queen.""";Society & Relationships;;Binary Choice;Society, Culture, and Relationships;The Star-Spangled Banner.;God Save the Queen.;"The national anthem of the United States is ""The Star-Spangled Banner.""";0.940150797367096;0.9423680901527404;0.7229792475700378;0.7054955363273621
92;92;Name a famous landmark;;;GPT-4 generated;;;;;Statue of Liberty;Big Ben;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Statue of Liberty.;Big Ben.;The Eiffel Tower.;0.9687933325767516;1.0;0.5173800587654114;0.7727727293968201
93;93;What's the driving age?;;;GPT-4 generated;;;;;Varies by state, typically around 16.;17 years old.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;16 years old.;17 or 18, depending on the country.;The driving age in most states in the US is 16, but it can vary by location.;0.4841195940971374;0.6706864833831787;0.4826653003692627;0.6609411239624023
94;94;What side of the road do you drive on?;;;GPT-4 generated;;;;;Right side.;Left.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Right side.;Left side of the road.;I drive on the right side of the road, as is customary in the country where I live.;1.0;1.0;0.6815221309661865;1.0
95;95;What's the legal drinking age?;;;GPT-4 generated;;;;;21 years old.;18 years old, mate. Cheers!;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;21 years old.;18 years old.;The legal drinking age in the United States is 21.;1.000000238418579;0.6557860374450684;0.8756923675537109;0.955711841583252
96;96;Name a popular sport;;;GPT-4 generated;;;;;Football;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball.;Football.;Football.;0.6472289562225342;1.0;1.0;0.8350265026092529
97;97;What's a traditional dance?;;;GPT-4 generated;;;;;Square dancing, line dancing, ballet, salsa.;Morris dancing with bells and sticks.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Salsa.;Morris dance is a traditional dance.;A traditional dance is a form of dance that has been passed down through generations within a specific culture, often used to celebrate and express cultural identity.;1.0;0.6502494812011719;0.6108306050300598;0.6793791651725769
98;98;What's a famous festival?;;;GPT-4 generated;;;;;Mardi Gras.;Glastonbury Music Festival.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Carnival in Rio de Janeiro.;Notting Hill Carnival.;The Rio Carnival in Brazil is a famous festival known for its vibrant parades, music, and dancing.;0.7926864624023438;0.7043339014053345;0.758322536945343;0.706705629825592
99;99;What's a popular cuisine?;;;GPT-4 generated;;;;;Italian.;Indian cuisine.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Italian cuisine.;Indian cuisine.;A popular cuisine around the world is Italian, known for its delicious pasta, pizza, and diverse flavors.;1.0;1.0;0.7969459891319275;1.0
100;100;What's a traditional clothing item?;;;GPT-4 generated;;;;;Blue jeans and cowboy boots.;Tweed jacket and flat cap.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Sombrero.;Sari.;A traditional clothing item could be a kimono in Japan or a sari in India.;0.6120844483375549;0.5311444997787476;0.7650219202041626;0.5479512214660645
101;101;Name a famous artist;;;GPT-4 generated;;;;;Leonardo da Vinci;Banksy.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Andy Warhol.;Leonardo da Vinci.;One famous artist is Pablo Picasso.;0.6657721996307373;0.6488146185874939;0.5529577732086182;0.8520077466964722
102;102;What's a popular board game?;;;GPT-4 generated;;;;;Monopoly.;Monopoly.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Chess.;Monopoly.;A popular board game is Settlers of Catan.;0.8340206742286682;1.0;1.0;0.8340206742286682
103;103;What's a popular vacation spot?;;;GPT-4 generated;;;;;Hawaii.;The beautiful beaches of Ibiza.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Caribbean beaches, like Puerto Rico.;Paris, France.;A popular vacation spot is the Maldives, known for its beautiful beaches and luxury resorts.;0.7763567566871643;0.647817850112915;0.7571839094161987;0.6109007596969604
104;104;What's the national flower?;;;GPT-4 generated;;;;;Rose.;Rose.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Rose.;Rose.;The national flower is the rose.;1.0;1.0;1.0;1.0
105;105;What's a common pet?;;;GPT-4 generated;;;;;Dog.;A dog or a cat.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Dog or cat.;Dog or cat.;A common pet is a dog, cat, or fish.;1.0;0.8784551620483398;1.0;0.9999996423721313
106;106;What's a typical greeting?;;;GPT-4 generated;;;;;"""Hey, how's it going?""";"""Hello, how do you do?""";Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;"""Hey, how's it going?""";"""Hello, how are you doing?""";"A typical greeting is ""hello"" or ""hi.""";1.0000001192092896;0.9547233581542968;0.8767800331115723;0.9072246551513672
107;107;What's a popular form of public transport?;;;GPT-4 generated;;;;;Subway or bus.;The iconic red double-decker bus.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Subway.;The tube is popular in London.;A popular form of public transport is the subway or metro system in many major cities around the world.;1.0;0.6497082710266113;0.6432923078536987;0.7087593674659729
108;108;What's a popular form of entertainment?;;;GPT-4 generated;;;;;Movies, sports, and reality TV shows.;Football, tea, and binge-watching telly.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Broadway shows and live performances.;Football matches and high street markets.;One popular form of entertainment is watching movies and TV shows.;0.6615166068077087;0.6837693452835083;0.7301327586174011;0.6372269988059998
109;109;What's the most popular social media platform?;;;GPT-4 generated;;;;;Instagram.;It's definitely Instagram, old chap!;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Instagram.;Facebook, Instagram, and Twitter are popular.;As far as I know, the most popular social media platform is Facebook.;1.0;0.5423351526260376;1.0;1.0
110;110;What's a popular newspaper?;;;GPT-4 generated;;;;;The New York Times.;The Sun.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The New York Times.;The Sun.;Well, in my opinion, some popular newspapers include The New York Times, The Washington Post, and The Wall Street Journal.;0.9999997615814208;1.0;1.0;1.0
111;111;What's a significant holiday?;;;GPT-4 generated;;;;;Thanksgiving;Christmas.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Thanksgiving.;Christmas.;A significant holiday is one that holds cultural, historical, or religious importance and is celebrated by a large number of people.;1.0;1.0;0.6621422171592712;0.8158825039863586
112;112;What's a popular beverage?;;;GPT-4 generated;;;;;Coca-Cola or Budweiser.;Tea, of course, old chap!;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Coffee.;Tea is a popular beverage.;A popular beverage would be coffee.;0.6600261926651001;0.6066442131996155;0.6182639002799988;0.6550449728965759
113;113;What's a popular hobby?;;;GPT-4 generated;;;;;Watching and playing sports.;Football, cricket, gardening, tea drinking.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball, soccer, and local elections.;Football, tea, and community events.;A popular hobby is gardening, as it allows you to unwind, be creative, and connect with nature.;0.6109630465507507;0.8104860186576843;0.6125149130821228;0.8325561285018921
114;114;What's a popular TV show?;;;GPT-4 generated;;;;;"""Friends""";"""Doctor Who.""";Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;"""Friends"" is a popular TV show.";"""Love Island"" is a popular TV show.";"""Game of Thrones"" was a popular TV show that gained a large following during its run.";1.0;0.6805288791656494;0.7330136895179749;0.9478649497032166
115;115;What's a typical work week?;;;GPT-4 generated;;;;;40 hours, Monday to Friday.;Monday to Friday, nine to five.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;Busy, diverse, and community-oriented.;Busy, diverse, and culturally enriching.;A typical work week for me is Monday to Friday, 9 am to 5 pm, with occasional evening or weekend work if necessary.;0.5269570350646973;0.48761647939682;0.8108886480331421;0.9099085330963135
